7zip 25.01+dfsg-1~deb13u1
adduser 3.152
adwaita-icon-theme 48.1-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.14-1
alsa-utils 1.2.14-1+rpt1
apparmor 4.1.0-1
apt 3.0.3
apt-listchanges 4.8
apt-utils 3.0.3
at-spi2-common 2.56.2-1+deb13u1
at-spi2-core 2.56.2-1+deb13u1
avahi-daemon 0.8-16
awb-nn 0~git20251217.c7112b6-1
base-files 13.8+deb13u4
base-passwd 3.6.7
bash 5.2.37-2+b8
bash-completion 1:2.16.0-7
binutils 2.44-3
binutils-aarch64-linux-gnu 2.44-3
binutils-common 2.44-3
bluez 5.82-1.1+rpt1
bluez-firmware 1.2-13+rpt2
bsdextrautils 2.41-5
bsdutils 1:2.41-5
bubblewrap 0.11.0-2+deb13u1
build-essential 12.12
busybox 1:1.37.0-6+b7
bzip2 1.0.8-6
ca-certificates 20250419
chromium 1:146.0.7680.164-1~deb13u1+rpt1
chromium-common 1:146.0.7680.164-1~deb13u1+rpt1
chromium-l10n 1:146.0.7680.164-1~deb13u1+rpt1
chromium-sandbox 1:146.0.7680.164-1~deb13u1+rpt1
cifs-utils 2:7.4-1
cloud-guest-utils 0.33-1
cloud-init 25.2-1~bpo13+1+rpt19
console-setup 1.242~deb13u1
console-setup-linux 1.242~deb13u1
containerd.io 2.2.5-1~debian.13~trixie
coreutils 9.7-3
cpio 2.15+dfsg-2
cpp-14 14.2.0-19
cpp-14-aarch64-linux-gnu 14.2.0-19
cpp 4:14.2.0-1
cpp-aarch64-linux-gnu 4:14.2.0-1
cron 3.0pl1-197
cron-daemon-common 3.0pl1-197
curl 8.14.1-2+deb13u3
dash 0.5.12-12
dbus 1.16.2-2
dbus-bin 1.16.2-2
dbus-daemon 1.16.2-2
dbus-session-bus-common 1.16.2-2
dbus-system-bus-common 1.16.2-2
dbus-user-session 1.16.2-2
dconf-cli 0.40.0-5
dconf-gsettings-backend 0.40.0-5
dconf-service 0.40.0-5
debconf 1.5.91
debconf-i18n 1.5.91
debconf-utils 1.5.91
debian-archive-keyring 2025.1
debianutils 5.23.2
device-tree-compiler 1.7.2-2+b1
dfu-util 0.11-3
dhcpcd-base 1:10.1.0-11+deb13u2
diffutils 1:3.10-4
dirmngr 2.4.7-21+deb13u1+b2
distro-info-data 0.66+deb13u1
dmidecode 3.6-2
dmsetup 2:1.02.205-2
dnsmasq-base 2.91-1
dns-root-data 2025080400~deb13u1
docker-buildx-plugin 0.34.1-1~debian.13~trixie
docker-ce 5:29.6.0-1~debian.13~trixie
docker-ce-cli 5:29.6.0-1~debian.13~trixie
docker-ce-rootless-extras 5:29.6.0-1~debian.13~trixie
docker-compose-plugin 5.1.4-1~debian.13~trixie
docker-model-plugin 1.2.4-1~debian.13~trixie
dos2unix 7.5.2-1+b1
dosfstools 4.2-1.2
dpkg 1.22.22
dpkg-dev 1.22.22
dracut-install 106-6
e2fsprogs 1.47.2-3+b10
eatmydata 131-2
ed 1.21.1-1
eject 2.41-5
ethtool 1:6.14.2-1
exfatprogs 1.2.9-1+deb13u1
fakeroot 1.37.1.1-1
fbset 2.1-34
fdisk 2.41-5
file 1:5.46-5
findutils 4.10.0-3
firmware-atheros 1:20250410-2+rpt1
firmware-brcm80211 1:20250410-2+rpt1
firmware-libertas 1:20250410-2+rpt1
firmware-mediatek 1:20250410-2+rpt1
firmware-realtek 1:20250410-2+rpt1
flashrom 1.4.0-3
fontconfig 2.15.0-2.3
fontconfig-config 2.15.0-2.3
fonts-dejavu-core 2.37-8
fonts-dejavu-mono 2.37-8
fonts-liberation 1:2.1.5-3
fonts-liberation-sans-narrow 1:1.07.6-4
fuse3 3.17.2-3
g++-14 14.2.0-19
g++-14-aarch64-linux-gnu 14.2.0-19
g++ 4:14.2.0-1
g++-aarch64-linux-gnu 4:14.2.0-1
gcc-14 14.2.0-19
gcc-14-aarch64-linux-gnu 14.2.0-19
gcc-14-base 14.2.0-19
gcc 4:14.2.0-1
gcc-aarch64-linux-gnu 4:14.2.0-1
gdb 16.3-1
gdisk 1.0.10-2+b1
gettext-base 0.23.1-2
git 1:2.47.3-0+deb13u1
git-man 1:2.47.3-0+deb13u1
glib-networking 2.80.1-1
